                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86948,                 2.9811,                 1.2112,                0.22602,                0.44671,                0.25251,                0.18624,                0.79494,                 3.3079,                  1.143,             0.00025292,             0.00025292,             0.00025292
                      2,                 1.0626,                 2.5032,                 1.3192,                0.19301,                0.41549,                 0.1928,                0.12506,                 1.1584,                 3.4763,                 1.4915,             0.00050757,             0.00050757,             0.00050757
                      3,                 1.1537,                   2.45,                 1.3792,                0.24762,                0.32167,                0.22794,                0.14406,                 1.2074,                 3.4228,                 1.4874,             0.00076053,             0.00076053,             0.00076053
                      4,                 1.1657,                 2.3372,                 1.3655,                0.16162,                0.39308,                0.18611,                0.12548,                 1.2408,                 3.8592,                 1.5555,             0.00076139,             0.00076139,             0.00076139
                      5,                 1.1849,                 2.3452,                 1.3915,                 0.2688,                0.42056,                 0.2941,                0.20587,                 1.0155,                 2.1886,                  1.305,             0.00076139,             0.00076139,             0.00076139
                      6,                 1.1309,                 2.2471,                 1.3681,                 0.2624,                0.38337,                 0.2956,                0.20663,                  1.035,                 2.2446,                 1.3007,             0.00075885,             0.00075885,             0.00075885
                      7,                 1.1341,                 2.2114,                  1.349,                0.30907,                0.38153,                0.33267,                0.22798,                0.99334,                 2.1522,                 1.2806,             0.00075631,             0.00075631,             0.00075631
                      8,                 1.1006,                 2.1427,                 1.3311,                0.38138,                0.47848,                0.41939,                0.31135,                0.90882,                 1.8241,                 1.2015,             0.00075377,             0.00075377,             0.00075377
                      9,                0.99969,                 2.0037,                 1.2576,                  0.372,                0.40696,                0.37872,                0.28612,                0.90663,                 1.8846,                 1.2227,             0.00075124,             0.00075124,             0.00075124
                     10,                 1.0068,                 1.9864,                 1.2902,                0.41583,                0.47159,                0.43827,                0.33756,                0.84699,                 1.7283,                 1.1729,              0.0007487,              0.0007487,              0.0007487
                     11,                0.98462,                 1.9453,                 1.2566,                0.42319,                0.46655,                0.46478,                0.35331,                0.83618,                 1.7518,                  1.164,             0.00074616,             0.00074616,             0.00074616
                     12,                 0.9548,                 1.8652,                 1.2499,                0.43077,                0.54457,                0.50225,                0.38783,                0.79443,                 1.6505,                 1.1287,             0.00074362,             0.00074362,             0.00074362
                     13,                0.94833,                 1.8223,                 1.2582,                0.47467,                0.49799,                0.52157,                0.41034,                0.76535,                 1.5089,                 1.1081,             0.00074109,             0.00074109,             0.00074109
                     14,                0.92538,                 1.7741,                 1.2444,                0.50086,                0.53028,                0.53641,                0.42072,                0.76667,                 1.5146,                 1.1223,             0.00073855,             0.00073855,             0.00073855
                     15,                0.94316,                 1.8147,                 1.2585,                0.48602,                0.57126,                0.55952,                0.43658,                0.75429,                 1.4335,                  1.102,             0.00073601,             0.00073601,             0.00073601
                     16,                0.93658,                 1.7435,                 1.2423,                0.55757,                 0.5162,                0.56511,                  0.446,                0.73532,                 1.4547,                 1.0863,             0.00073347,             0.00073347,             0.00073347
                     17,                0.88037,                 1.6832,                 1.2057,                0.59531,                0.53582,                0.60662,                 0.4884,                0.71364,                 1.3658,                 1.0662,             0.00073093,             0.00073093,             0.00073093
                     18,                0.87191,                 1.6602,                 1.2005,                0.58318,                0.56929,                0.62504,                0.49452,                0.72267,                 1.3244,                 1.0639,              0.0007284,              0.0007284,              0.0007284
                     19,                0.87323,                 1.6448,                 1.2121,                0.53183,                0.57662,                 0.5842,                0.47405,                0.69508,                 1.4465,                 1.0552,             0.00072586,             0.00072586,             0.00072586
                     20,                0.86188,                 1.5999,                 1.1901,                0.61553,                0.60893,                0.67301,                0.55328,                0.64168,                 1.2088,                 1.0245,             0.00072332,             0.00072332,             0.00072332
                     21,                0.85535,                 1.5482,                 1.1975,                0.62098,                0.59902,                0.66944,                0.53993,                0.68747,                 1.2343,                 1.0344,             0.00072078,             0.00072078,             0.00072078
                     22,                0.86038,                 1.5316,                 1.1898,                0.64223,                0.63481,                 0.6804,                0.54708,                0.71302,                 1.2176,                 1.0667,             0.00071825,             0.00071825,             0.00071825
                     23,                 0.8347,                 1.4953,                  1.169,                0.66796,                0.63392,                0.70763,                0.57757,                0.66382,                 1.2618,                 1.0298,             0.00071571,             0.00071571,             0.00071571
