                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0236,                 3.5334,                 1.2504,                 0.4371,                0.13198,                0.11245,                0.08481,                0.85381,                 2.9693,                 1.1212,             0.00025292,             0.00025292,             0.00025292
                      2,                  1.095,                 3.0017,                 1.2651,                0.15123,                0.32989,                 0.1473,                0.10301,                0.95874,                 2.6508,                 1.2047,             0.00050757,             0.00050757,             0.00050757
                      3,                 1.0995,                 2.8447,                 1.2681,                0.18848,                0.37602,                0.19542,                0.13132,                  1.032,                 2.6328,                 1.2362,             0.00076053,             0.00076053,             0.00076053
                      4,                 1.1219,                  2.696,                 1.2815,                0.19132,                0.37482,                0.23618,                0.16531,                 1.0198,                 2.6412,                 1.2824,             0.00076139,             0.00076139,             0.00076139
                      5,                 1.1105,                 2.5909,                 1.2758,                0.24665,                0.40615,                0.25496,                0.17802,                0.98638,                 2.3863,                 1.2096,             0.00076139,             0.00076139,             0.00076139
                      6,                 1.0907,                 2.4682,                 1.2698,                0.25219,                 0.4236,                0.27811,                0.19664,                0.94242,                 2.5381,                 1.1706,             0.00075885,             0.00075885,             0.00075885
                      7,                 1.0822,                 2.3584,                 1.2565,                0.28437,                0.40626,                0.31448,                0.22326,                0.90397,                 2.1597,                 1.1698,             0.00075631,             0.00075631,             0.00075631
                      8,                 1.0562,                  2.277,                 1.2353,                0.36635,                 0.4421,                0.41289,                0.29849,                0.92696,                 1.8823,                 1.1645,             0.00075377,             0.00075377,             0.00075377
                      9,                0.99475,                 2.1158,                 1.2011,                0.42052,                0.41401,                0.41476,                0.31343,                0.87333,                 1.8328,                 1.1126,             0.00075124,             0.00075124,             0.00075124
                     10,                 1.0016,                 2.0886,                  1.205,                0.40124,                0.50276,                0.44623,                0.32971,                0.88682,                 1.7715,                 1.1384,              0.0007487,              0.0007487,              0.0007487
                     11,                0.97477,                 2.0158,                 1.1988,                0.43499,                0.49633,                0.49626,                0.37449,                0.83344,                 1.7125,                 1.1191,             0.00074616,             0.00074616,             0.00074616
                     12,                0.95496,                 1.9401,                 1.1938,                0.44424,                 0.4673,                0.47071,                0.35974,                0.81509,                 1.8062,                 1.0955,             0.00074362,             0.00074362,             0.00074362
                     13,                0.94622,                 1.9389,                 1.1935,                0.43322,                0.48969,                0.47758,                0.37265,                 0.8057,                 1.7161,                 1.0911,             0.00074109,             0.00074109,             0.00074109
                     14,                0.93172,                 1.8355,                 1.1857,                0.57519,                0.54855,                0.59645,                0.46655,                 0.7648,                 1.4754,                  1.067,             0.00073855,             0.00073855,             0.00073855
                     15,                0.95116,                 1.8368,                 1.1885,                0.54913,                 0.5455,                0.58271,                0.45208,                0.79813,                 1.4675,                 1.0839,             0.00073601,             0.00073601,             0.00073601
