                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0041,                 3.8257,                 1.2633,                0.18713,                0.44963,                0.21719,                0.16752,                0.86502,                 2.7143,                 1.1719,             0.00025292,             0.00025292,             0.00025292
                      2,                 1.0394,                 2.5412,                  1.251,                0.23879,                0.42628,                0.28142,                0.19067,                 1.0373,                 2.7241,                 1.2693,             0.00050757,             0.00050757,             0.00050757
                      3,                 1.1052,                 2.3639,                 1.2966,                0.23592,                0.34069,                0.20792,                0.13946,                  1.114,                 2.6725,                 1.3361,             0.00076053,             0.00076053,             0.00076053
                      4,                 1.1251,                 2.3009,                 1.3123,                0.31221,                  0.403,                0.30343,                 0.1984,                 1.1132,                 2.2665,                 1.3456,             0.00076139,             0.00076139,             0.00076139
                      5,                 1.1044,                 2.2009,                    1.3,                0.29423,                 0.4378,                0.33877,                0.23627,                0.94338,                 1.9849,                 1.2094,             0.00076139,             0.00076139,             0.00076139
                      6,                 1.1003,                  2.148,                 1.3052,                0.33777,                 0.4159,                0.34584,                0.23657,                  1.002,                 2.2369,                 1.2455,             0.00075885,             0.00075885,             0.00075885
                      7,                 1.0861,                 2.0923,                 1.2772,                0.31938,                0.44467,                0.36643,                0.25573,                 1.0286,                 1.9992,                 1.2534,             0.00075631,             0.00075631,             0.00075631
                      8,                 1.0537,                 1.9845,                 1.2617,                0.39408,                0.53477,                0.45053,                0.33314,                0.86671,                 1.6818,                 1.1453,             0.00075377,             0.00075377,             0.00075377
                      9,                0.97386,                 1.8697,                 1.2103,                0.49103,                0.46315,                0.50234,                0.37603,                0.86838,                 1.7045,                 1.1723,             0.00075124,             0.00075124,             0.00075124
                     10,                 1.0034,                 1.8915,                 1.2501,                0.42332,                0.49278,                0.49981,                0.38265,                 0.8187,                 1.6055,                 1.1141,              0.0007487,              0.0007487,              0.0007487
                     11,                0.96577,                 1.8237,                 1.2081,                0.48272,                0.50311,                0.52541,                0.39811,                0.83459,                 1.5545,                 1.1205,             0.00074616,             0.00074616,             0.00074616
                     12,                0.95676,                  1.745,                 1.2067,                0.44794,                0.57976,                 0.5385,                0.40743,                 0.8112,                 1.5248,                 1.1212,             0.00074362,             0.00074362,             0.00074362
                     13,                0.92345,                 1.7079,                 1.1995,                0.49988,                0.55904,                  0.579,                0.45046,                0.77218,                 1.4544,                 1.1037,             0.00074109,             0.00074109,             0.00074109
                     14,                0.90525,                 1.6363,                 1.1871,                0.52035,                 0.5598,                0.57794,                 0.4562,                0.75274,                 1.4656,                 1.0805,             0.00073855,             0.00073855,             0.00073855
                     15,                0.90871,                   1.68,                 1.1845,                0.61982,                0.57808,                0.64515,                  0.499,                0.77617,                  1.314,                 1.0748,             0.00073601,             0.00073601,             0.00073601
